wav,n10,n20,n30,ref 10,ref 20,ref 30
1539.1,-60.94183731,-60.56422424,-66.31926727,-34.5518837,-35.04462433,-34.26356125
1539.11,-60.98991776,-60.50462723,-66.35131836,-34.61419296,-35.02138138,-34.23065948
1539.12,-61.01789093,-60.39764786,-66.30177307,-34.652668,-34.98343658,-34.11471558
1539.13,-61.10121536,-60.37771606,-66.28997803,-34.72229767,-35.07118225,-34.1724472
1539.14,-61.22871017,-60.31817627,-66.27835083,-34.74797058,-34.88360214,-34.2061882
1539.15,-61.35969925,-60.29636002,-66.20904541,-34.80758667,-34.94890976,-34.12666321
1539.16,-61.51775742,-60.32610321,-66.25032043,-34.84092331,-34.98293304,-34.0343399
1539.17,-61.66913223,-60.26213837,-66.28744507,-34.82083893,-34.8371582,-34.1065979
1539.18,-61.85007095,-60.26475143,-66.33174133,-34.81974792,-34.8441658,-34.18205261
1539.19,-62.1150322,-60.30163574,-66.37359619,-34.9085083,-34.9223938,-34.151474
1539.2,-62.27458954,-60.24133301,-66.27485657,-34.84191132,-34.914711,-34.20820236
1539.21,-62.58213043,-60.22563934,-66.22292328,-34.86925888,-34.79614258,-34.40374756
1539.22,-62.94498825,-60.15554047,-66.14510345,-34.94377518,-34.55451202,-34.31100082
1539.23,-63.20966339,-60.17816925,-65.98101807,-34.97575378,-34.57992554,-34.32284927
1539.24,-63.35776901,-60.1571846,-65.91670227,-34.89510727,-34.42694855,-34.43405533
1539.25,-63.37001419,-60.0670433,-65.75485229,-34.86158752,-34.33604431,-34.52691269
1539.26,-63.41325378,-59.99720383,-65.67267609,-34.93842697,-34.2722702,-34.53271484
1539.27,-63.26257324,-59.92317963,-65.62628174,-34.90102768,-34.25661469,-34.56970596
1539.28,-63.07933807,-59.7750206,-65.55983734,-34.85421753,-34.18034363,-34.66508865
1539.29,-62.98477936,-59.74667358,-65.51385498,-34.91042328,-34.03305817,-34.76077271
1539.3,-62.71834183,-59.74379349,-65.45336914,-34.896595,-34.05641174,-34.63951874
1539.31,-62.54439163,-59.72532272,-65.4132843,-34.84553909,-34.03695679,-34.6748848
1539.32,-62.45488358,-59.74871445,-65.46087646,-34.83583832,-34.05942154,-34.68045425
1539.33,-62.33997345,-59.72732544,-65.46443939,-34.78682327,-34.10636139,-34.55321503
1539.34,-62.28098679,-59.75018692,-65.47799683,-34.73794556,-34.17050171,-34.52565002
1539.35,-62.16739273,-59.66261292,-65.52656555,-34.64887238,-33.99251175,-34.63010025
1539.36,-62.09455872,-59.60580826,-65.48248291,-34.66178894,-33.91017151,-34.69244385
1539.37,-61.98833847,-59.66411972,-65.45982361,-34.68621063,-33.97192383,-34.51092529
