wav,TE0,TE1,ref
1540.04,-36.5011673,-37.50195313,-33.96179962
1540.05,-36.48977661,-37.76409912,-33.92197418
1540.06,-36.2450943,-37.90140533,-34.04074478
1540.07,-36.00003815,-37.96728516,-34.09418869
1540.08,-35.83044434,-38.16164398,-34.12304688
1540.09,-35.73400116,-38.35327911,-34.23193741
1540.1,-35.56102753,-38.50355911,-34.41379547
1540.11,-35.5024147,-38.75366592,-34.41028976
1540.12,-35.31861877,-39.00392151,-34.38588715
1540.13,-35.34318161,-39.47859192,-34.5292778
1540.14,-34.9928627,-39.50763702,-34.56007385
1540.15,-34.86454773,-39.79642487,-34.49922943
1540.16,-34.79295731,-40.20783615,-34.56088257
1540.17,-34.63955688,-40.40652847,-34.65363693
1540.18,-34.56233215,-40.68378448,-34.70892715
1540.19,-34.48939896,-40.99010849,-34.55748749
1540.2,-34.44021606,-41.44497299,-34.58712387
1540.21,-34.30862808,-41.72855759,-34.62903976
1540.22,-34.14523697,-41.96220398,-34.47502136
1540.23,-34.19278717,-42.35430908,-34.36242676
1540.24,-34.17770004,-42.66911316,-34.35235596
1540.25,-34.07479477,-42.92495346,-34.34032059
1540.26,-34.15441895,-43.40849304,-34.12841415
1540.27,-34.28554535,-44.0255394,-34.07341766
1540.28,-34.3073616,-44.32025909,-34.09100342
1540.29,-34.23373413,-44.715168,-33.96189117
1540.3,-34.38680649,-45.16984177,-33.8406105
1540.31,-34.39559174,-45.55554581,-33.89332581
1540.32,-34.42437363,-45.81976318,-33.92098236
1540.33,-34.44548035,-46.10143661,-33.85499954
1540.34,-34.65927124,-46.70193863,-33.71065521
1540.35,-34.63998413,-47.03316116,-33.77142715
1540.36,-34.67481613,-47.4291153,-33.72575378
1540.37,-34.79264069,-47.93731308,-33.68556976
1540.38,-34.81797791,-48.22042465,-33.7876091
1540.39,-34.871315,-48.65276337,-33.84707642
1540.4,-34.91638184,-49.01428223,-33.70615387
1540.41,-35.0020256,-49.52566528,-33.62705231
1540.42,-35.04263687,-49.99576569,-33.70899963
1540.43,-34.85148239,-50.38137817,-33.71445084
1540.44,-34.83749771,-50.56829071,-33.67507935
1540.45,-34.79792786,-50.84467697,-33.69252014
1540.46,-34.66130829,-50.85033035,-33.76541138
1540.47,-34.62758255,-50.88797379,-33.64050674
1540.48,-34.51718903,-51.08506393,-33.5053978
1540.49,-34.57975769,-51.01303864,-33.56805801
1540.5,-34.37183762,-50.91274261,-33.63389587
1540.51,-34.32504654,-50.48893738,-33.55453491
1540.52,-34.33883667,-50.29700851,-33.53694534
1540.53,-34.17484283,-49.58786392,-33.50855255
1540.54,-34.1456604,-49.20061493,-33.57929611
1540.55,-34.24118423,-48.67181396,-33.46974182
1540.56,-34.21596146,-47.98590469,-33.53188324
1540.57,-34.17193604,-47.60113144,-33.60155106
1540.58,-33.9701004,-46.62966537,-33.48840714
1540.59,-34.01616669,-46.52990723,-33.47276306
1540.6,-34.0519104,-46.07702637,-33.61676788
1540.61,-34.08259964,-45.53930283,-33.66943359
1540.62,-34.21290207,-45.27680588,-33.60856628
1540.63,-34.30397797,-44.88957977,-33.69290924
1540.64,-34.25253677,-44.35751343,-33.72675705
1540.65,-34.33573532,-43.86521912,-33.71913528
1540.66,-34.44203186,-43.62347794,-33.68708038
1540.67,-34.4477272,-43.3621521,-33.87433624
1540.68,-34.56214523,-43.00027084,-33.89257431
1540.69,-34.59195709,-42.74488831,-33.79157257
1540.7,-34.76810455,-42.45916748,-33.74500275
1540.71,-34.75445557,-41.98932266,-33.80211639
1540.72,-34.82749176,-41.64657593,-33.78352737
1540.73,-35.0874176,-41.52072525,-33.77001953
1540.74,-35.22275162,-41.28204727,-33.81712723
1540.75,-35.29535294,-41.12755585,-33.86620712
1540.76,-35.5014267,-40.9268837,-33.75772095
1540.77,-35.71915436,-40.79773331,-33.66785431
1540.78,-36.08343124,-40.69792175,-33.7359848
1540.79,-36.06435776,-40.24785995,-33.84658051
1540.8,-36.19974899,-40.10266113,-33.78723526
1540.81,-36.32723999,-39.8854332,-33.80101776
1540.82,-36.3030777,-39.50437546,-33.87004471
1540.83,-36.50105286,-39.2228775,-33.74858093
1540.84,-36.78918839,-39.05607605,-33.6715889
1540.85,-36.975914,-38.84367371,-33.71418762
1540.86,-37.0921402,-38.43006134,-33.73439407
1540.87,-37.18804932,-38.12057114,-33.60026932
1540.88,-37.42922211,-37.97790146,-33.64749146
