wav,n = 10,n = 20,n = 30,ref 10,ref 20,ref 30
1520.67,-50.73736572,-55.39763641,-65.5824585,-43.61616516,-41.78798676,-42.32874298
1520.68,-50.74934769,-55.35321426,-65.44128418,-43.5954361,-41.79207993,-42.16347885
1520.69,-50.68162537,-55.32299042,-65.36705017,-43.43773651,-41.70640564,-42.27093887
1520.7,-50.74050903,-55.3367691,-65.23174286,-43.49630356,-41.72047424,-42.37368393
1520.71,-50.73736572,-55.34668732,-65.11206818,-43.37228775,-41.67064285,-42.34797287
1520.72,-50.72729492,-55.33999634,-65.00791931,-43.48192596,-41.69715118,-42.37550354
1520.73,-50.7057724,-55.35931778,-64.8877182,-43.42686844,-41.73617554,-42.31143188
1520.74,-50.69906616,-55.35052109,-64.86491394,-43.41569519,-41.67317581,-42.55670166
1520.75,-50.69857788,-55.39320374,-64.77248383,-43.48654938,-41.70804596,-42.5019722
1520.76,-50.61485291,-55.52817535,-64.75950623,-43.23360062,-41.83348083,-42.62948227
1520.77,-50.58652496,-55.61860657,-64.74262238,-43.20922852,-41.90853119,-42.59481812
1520.78,-50.6063385,-55.69899368,-64.76832581,-43.05182266,-41.92565155,-42.59856033
1520.79,-50.57347107,-55.81499863,-64.86289215,-43.10594177,-42.02942657,-42.64022064
1520.8,-50.55540466,-55.98485184,-64.9118042,-43.04346848,-42.17113876,-42.51279449
1520.81,-50.54554749,-56.11883926,-65.06404877,-43.07648087,-42.12985992,-42.70316315
1520.82,-50.47183228,-56.27734756,-65.1776123,-42.9816246,-42.36275482,-42.49991989
1520.83,-50.41918945,-56.39797592,-65.33265686,-42.94215012,-42.30535507,-42.52920151
1520.84,-50.36452866,-56.49066544,-65.48206329,-42.95350647,-42.33629608,-42.4356308
1520.85,-50.33876038,-56.68911743,-65.69546509,-42.75498581,-42.32913971,-42.44218063
1520.86,-50.34779739,-56.89965439,-65.89112854,-42.81785583,-42.43828583,-42.42398834
1520.87,-50.29172516,-57.05621719,-65.99085999,-42.73968506,-42.38829041,-42.31413269
1520.88,-50.24589539,-57.21762848,-66.17412567,-42.77164459,-42.40209198,-42.406353
1520.89,-50.27592087,-57.29089737,-66.30298615,-42.86834717,-42.37891769,-42.2851944
1520.9,-50.21686554,-57.32816696,-66.53872681,-42.8123436,-42.32013321,-42.09943008
1520.91,-50.18294907,-57.40084839,-66.75878906,-42.90984344,-42.36701202,-42.04842377
1520.92,-50.15934753,-57.44192505,-67.02713776,-42.86660767,-42.35541534,-41.93491364
1520.93,-50.16248322,-57.47828674,-67.29601288,-43.07562256,-42.34080124,-41.97165298
1520.94,-50.16484451,-57.48383331,-67.41178894,-43.09425354,-42.32070923,-41.81639099
1520.95,-50.10900116,-57.42263794,-67.63571167,-43.11365128,-42.09295273,-41.893116
1520.96,-50.11852264,-57.43158722,-67.67960358,-43.37462616,-42.12134171,-41.88948059
1520.97,-50.1230545,-57.37159348,-67.74580383,-43.44419098,-42.08808899,-41.9116478
1520.98,-50.1006279,-57.34324646,-67.75356293,-43.60462952,-42.19421005,-41.98428726
1520.99,-50.08177948,-57.3290596,-67.64053345,-43.56989288,-42.21834946,-41.84757614
1521,-50.00539398,-57.31666183,-67.58567047,-43.50078201,-42.11995316,-41.92449951
1521.01,-49.95685577,-57.24796677,-67.37286377,-43.47641754,-42.1188736,-41.82748032
1521.02,-49.94911194,-57.24547195,-67.26808929,-43.43544388,-42.17780304,-42.01353455
1521.03,-49.92412949,-57.25746155,-67.09577179,-43.4176445,-42.17626953,-41.97513962
1521.04,-49.94264984,-57.26449585,-66.95098114,-43.37841415,-42.19370651,-41.87514114
1521.05,-49.98026657,-57.22208405,-66.84699249,-43.64175034,-42.07587814,-42.01320267
1521.06,-49.94372559,-57.10843658,-66.67087555,-43.59792328,-41.95471191,-41.89793015
1521.07,-49.99881744,-57.01990128,-66.52828979,-43.63411331,-41.8944664,-41.9202919
1521.08,-50.00557709,-56.96982193,-66.30682373,-43.51986313,-41.85667038,-41.81746674
1521.09,-50.05133438,-56.9563942,-66.16641235,-43.40114975,-41.86136627,-41.68073273
1521.1,-50.10749054,-56.89850616,-66.01974487,-43.55934143,-41.73521042,-41.77146912
1521.11,-50.12395859,-56.80133438,-65.88562775,-43.49074554,-41.65219879,-41.71128082
1521.12,-50.17045212,-56.71901703,-65.72618103,-43.55517197,-41.49940872,-41.7098732
1521.13,-50.19168854,-56.6805954,-65.45024109,-43.40413666,-41.52884674,-41.58649445
1521.14,-50.22993851,-56.6807251,-65.29164124,-43.35728455,-41.46554184,-41.71617889
1521.15,-50.2635498,-56.65846634,-65.05490875,-43.44321442,-41.44120789,-41.71915436
1521.16,-50.29356003,-56.63105774,-64.90625,-43.36664581,-41.43847656,-41.67874908
1521.17,-50.25784302,-56.63585663,-64.76161194,-43.44692612,-41.39826202,-41.71377563
1521.18,-50.25658417,-56.67797852,-64.55569458,-43.26426697,-41.36594772,-41.55331039
1521.19,-50.29803848,-56.70870209,-64.47653961,-43.36026001,-41.19168091,-41.70734787
1521.2,-50.3461113,-56.72514343,-64.30850983,-43.47166824,-41.21956253,-41.68885422
1521.21,-50.31362915,-56.81218719,-64.24249268,-43.39479065,-41.2609787,-41.78419876
1521.22,-50.27975464,-56.85300446,-64.12450409,-43.55686188,-41.34791183,-41.7129631
1521.23,-50.21086502,-56.87859726,-64.01608276,-43.34358597,-41.3728447,-41.64935684
1521.24,-50.24433517,-56.93331909,-63.98104095,-43.32002258,-41.26070404,-41.76184082
1521.25,-50.24399567,-57.04039001,-63.92530823,-43.23208618,-41.35703659,-41.63611221
1521.26,-50.2185936,-57.17918777,-63.94691849,-43.19691467,-41.33809662,-41.74021149
1521.27,-50.19889832,-57.3109436,-63.94578552,-43.12192917,-41.50645447,-41.69959641
1521.28,-50.21326447,-57.35247421,-64.01626587,-42.97346115,-41.50419617,-41.63518143
1521.29,-50.23295212,-57.41830826,-64.07725525,-43.0598793,-41.42739868,-41.75157928
1521.3,-50.2639389,-57.51253891,-64.15867615,-42.94466019,-41.61833191,-41.72612
1521.31,-50.27648163,-57.57645416,-64.26545715,-43.02345657,-41.54134369,-41.78314209
1521.32,-50.29271317,-57.69957733,-64.3886261,-42.84573364,-41.7000885,-41.65911102
1521.33,-50.32233047,-57.77612686,-64.60591888,-42.83569717,-41.61572647,-41.77336121
1521.34,-50.3481369,-57.84047699,-64.75983429,-42.95413208,-41.62302399,-41.64039612
1521.35,-50.37005615,-57.93207169,-65.00489807,-42.83538437,-41.74945831,-41.57497787
1521.36,-50.33697128,-57.92925262,-65.20154572,-42.88564301,-41.72270966,-41.52180099
1521.37,-50.36755371,-57.95971298,-65.39637756,-42.74109268,-41.72488785,-41.27896118
1521.38,-50.42578888,-57.86471558,-65.71572113,-42.84692001,-41.48613358,-41.34057999
1521.39,-50.37859344,-57.79584885,-65.9420166,-42.85216522,-41.55474472,-41.2949028
1521.4,-50.41942978,-57.69298553,-66.28559875,-42.79615021,-41.48101807,-41.27456284
1521.41,-50.5388298,-57.62576675,-66.52388,-42.92876434,-41.3897438,-41.20300293
1521.42,-50.66103745,-57.57457733,-66.78081512,-42.87446594,-41.25361252,-41.04286194
1521.43,-50.79547119,-57.45720673,-67.04478455,-43.16419601,-41.13023758,-41.08303452
1521.44,-50.83822632,-57.41365051,-67.11320496,-43.26580429,-41.26865387,-40.997715
1521.45,-50.90389252,-57.29490662,-67.22045898,-43.11380005,-41.27614975,-40.99590302
1521.46,-51.06780243,-57.13023758,-67.25115967,-43.17235184,-41.26360321,-40.91566849
1521.47,-51.18756866,-57.03432083,-67.34333801,-43.19239426,-41.21018219,-41.02743149
1521.48,-51.31131363,-56.99889755,-67.40035248,-43.43786621,-41.17324829,-41.13485718
1521.49,-51.35046005,-56.97858047,-67.30476379,-43.44489288,-41.38321304,-41.16306305
1521.5,-51.36875534,-56.93357086,-67.1599884,-43.22963333,-41.30566788,-41.19630051
1521.51,-51.41201401,-56.96492767,-66.96090698,-43.10129547,-41.41884613,-41.1520462
1521.52,-51.34370422,-56.9765625,-66.75977325,-43.02238083,-41.42027283,-41.26623154
1521.53,-51.2953186,-56.9691124,-66.60131836,-43.06119537,-41.41702652,-41.23757553
1521.54,-51.1775322,-56.9852829,-66.4318924,-42.83655548,-41.49240112,-41.27593231
1521.55,-51.13009262,-57.04106522,-66.23284912,-42.82456207,-41.44709015,-41.31282043
1521.56,-51.14313889,-57.10221481,-66.01795197,-42.75218582,-41.41101837,-41.27835846
1521.57,-51.1186676,-57.15396118,-65.77942657,-42.65607452,-41.25537872,-41.4792099
1521.58,-51.11434555,-57.31326675,-65.54920197,-42.64936066,-41.33153534,-41.50868988
1521.59,-51.1003418,-57.43954849,-65.35504913,-42.59413528,-41.32204437,-41.43964767
1521.6,-51.0194664,-57.58679962,-65.25008392,-42.55490875,-41.3432045,-41.48796082
1521.61,-50.99028778,-57.68801117,-65.16802216,-42.48020554,-41.32756805,-41.48340988
1521.62,-50.96463394,-57.81082535,-65.10020447,-42.43373489,-41.32550812,-41.67474365
1521.63,-50.93468094,-57.99036789,-65.03231812,-42.4029808,-41.35984039,-41.69266891
1521.64,-50.8404007,-58.11568069,-64.98033142,-42.34393692,-41.26062012,-41.73236465
1521.65,-50.85636902,-58.33957672,-64.92739868,-42.43435287,-41.13248444,-41.86656189
1521.66,-50.77999878,-58.65340042,-64.90744019,-42.44902039,-41.21349335,-41.90501785
1521.67,-50.70567322,-58.91107178,-64.89512634,-42.4276123,-41.17202377,-41.88736343
1521.68,-50.66674805,-59.14996719,-64.93183899,-42.46383667,-41.29009247,-41.98464203
1521.69,-50.62184525,-59.3842926,-65.05285645,-42.48560333,-41.14805603,-41.91094589
1521.7,-50.5863266,-59.65645981,-65.20549774,-42.64908981,-41.07231903,-41.94683456
1521.71,-50.5776825,-59.86163712,-65.38230896,-42.73469543,-41.08171463,-42.01990509
1521.72,-50.64756012,-60.07012558,-65.5460968,-42.89412689,-40.98292923,-42.04199982
1521.73,-50.68537521,-60.29888535,-65.6986084,-43.00603485,-41.05092621,-42.01934052
1521.74,-50.69469452,-60.43673325,-65.87533569,-43.04499054,-41.01159286,-42.07264328
1521.75,-50.66414261,-60.50411224,-66.10770416,-43.06665802,-41.10619354,-42.1227951
1521.76,-50.63654709,-60.59782791,-66.41455078,-43.06764221,-41.2420578,-42.20941925
1521.77,-50.71493149,-60.59601974,-66.80065155,-43.15187836,-41.30075073,-42.19687653
1521.78,-50.67198944,-60.54793167,-67.13446808,-43.10276031,-41.47559357,-42.28245544
1521.79,-50.77745819,-60.44677734,-67.4397049,-43.06356049,-41.46941757,-42.39850616
1521.8,-50.85736847,-60.42924118,-67.57012177,-43.06885529,-41.62498093,-42.32761002
1521.81,-50.90353012,-60.37808228,-67.6906662,-43.02001572,-41.79148865,-42.25773239
1521.82,-50.93513489,-60.18819427,-67.84202576,-43.00281525,-41.60378265,-42.20138168
1521.83,-51.02881241,-60.15982056,-67.97176361,-42.92398834,-41.72293091,-42.11476517
1521.84,-51.1795311,-60.00790787,-68.16274261,-42.95023727,-41.77497864,-42.17950058
1521.85,-51.19644928,-59.77722931,-68.30152893,-42.99590302,-41.85808563,-41.93954468
1521.86,-51.26841354,-59.54456711,-68.37049866,-43.0120697,-41.78408432,-41.85903549
1521.87,-51.30240631,-59.37282562,-68.38739014,-43.08138275,-41.69717407,-41.77748108
1521.88,-51.28187943,-59.16271973,-68.25762939,-42.99705505,-41.70848465,-41.47044754
1521.89,-51.32888031,-58.89981842,-68.13667297,-42.94004822,-41.61921692,-41.51903534
1521.9,-51.38890457,-58.68508911,-68.00680542,-43.03396225,-41.61135483,-41.48497772
