wav,TE0,TE1,ref,TE0 Norm,TE1 Norm,Sum,,,
1520.63,-43.33209991,-53.9561882,-42.0133298,-1.318770116,-11.9428584,-0.958014702,,,
1520.64,-43.31944275,-54.20345688,-42.12268573,-1.196757024,-12.08077115,-0.856159316,,,
1520.65,-43.29534149,-54.31391144,-42.10783892,-1.187502568,-12.20607251,-0.856910182,,,
1520.66,-43.48555756,-54.51671219,-42.08210879,-1.403448766,-12.4346034,-1.073777557,,,
1520.67,-43.35626602,-54.49917603,-42.05819064,-1.298075383,-12.44098539,-0.976476777,,,
1520.68,-43.35096741,-54.40224075,-42.18630343,-1.164663976,-12.21593732,-0.836460292,,,
1520.69,-43.14324951,-54.32540512,-42.18133288,-0.961916631,-12.14407224,-0.643107477,,,
1520.7,-43.2244339,-54.18291473,-42.25630313,-0.968130773,-11.92661161,-0.633105712,,,
1520.71,-43.22603607,-54.0226593,-42.2376607,-0.988375371,-11.7849986,-0.641124179,,,
1520.72,-43.39722443,-53.78173828,-42.16402941,-1.233195012,-11.61770887,-0.852850698,,,
1520.73,-43.44389725,-53.55480957,-42.25255709,-1.191340154,-11.30225248,-0.787380006,,,
1520.74,-43.33707047,-53.307827,-42.35948687,-0.977583593,-10.94834012,-0.560990092,,,
1520.75,-43.43040848,-52.98670197,-42.35505419,-1.075354283,-10.63164777,-0.619164226,,,
1520.76,-43.34517288,-52.74564743,-42.19284945,-1.15232343,-10.55279798,-0.680342855,,,
1520.77,-43.3874588,-52.48961639,-42.37214022,-1.015318578,-10.11747617,-0.511653386,,,
1520.78,-43.33916855,-52.24931335,-42.24855929,-1.090609258,-10.00075406,-0.565499798,,,
1520.79,-43.42776871,-52.07109833,-42.25804644,-1.169722264,-9.813051885,-0.613385688,,,
1520.8,-43.4201622,-51.86408234,-42.35354739,-1.066614812,-9.510534948,-0.485812181,,,
1520.81,-43.45164108,-51.73028564,-42.30180484,-1.149836248,-9.428480809,-0.547997085,,,
1520.82,-43.67967987,-51.62608337,-42.40543872,-1.274241155,-9.220644658,-0.627949272,,,
1520.83,-43.5040741,-51.50653458,-42.30004245,-1.204031652,-9.206492131,-0.565447838,,,
1520.84,-43.62055969,-51.44866943,-42.36060076,-1.259958928,-9.088068669,-0.597117248,,,
1520.85,-43.51266098,-51.40445709,-42.22012835,-1.292532628,-9.18432874,-0.638649107,,,
1520.86,-43.55651093,-51.38118362,-42.24079257,-1.315718358,-9.140391057,-0.652390005,,,
1520.87,-43.58960724,-51.38038254,-42.18918353,-1.400423711,-9.19119901,-0.732277862,,,
1520.88,-43.56549072,-51.37596512,-41.99731188,-1.568178838,-9.378653234,-0.902836549,,,
1520.89,-43.76541901,-51.35149002,-42.00783282,-1.757586187,-9.343657201,-1.059653798,,,
1520.9,-43.73987579,-51.32001877,-41.85239154,-1.887484258,-9.467627233,-1.188671301,,,
1520.91,-43.80763626,-51.23766327,-41.85021716,-1.957419103,-9.387446111,-1.235963556,,,
1520.92,-43.79042053,-51.11952972,-41.75106936,-2.039351171,-9.368460363,-1.302296685,,,
1520.93,-43.78134918,-50.99599075,-41.7795003,-2.001848882,-9.216490453,-1.246726876,,,
1520.94,-43.82190323,-50.82883453,-41.75643664,-2.065466588,-9.072397893,-1.276521261,,,
